lot_identifier,main_cam_url,main_cam_lot_seek_hms,main_cam_lot_duration_secs,main_lot_startedAt,secondary_cam_url,secondary_cam_lot_seek_hms,secondary_cam_lot_seek_secs,secondary_cam_lot_duration_secs,cat_noInLot,cat_breedCode,cat_weightKgs,cat_sex,cat_ageInMonths,cat_ageInDays,owner_id
2VzIjltH7IgxzqvY62Lt-GAac8ZAbppr3XpQnS6kv-40,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:3:45,21,2022-01-26T10:52:41.473Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:3:2,182,37,,FR,,FEMALE,88,2679,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-6jCdwONBn5VfcQ4TE0lV-39,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:4:21,17,2022-01-26T10:53:17.160Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:3:45,225,21,,FR,,FEMALE,65,1991,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-ENWi8qj7AZyrZYRRL5eF-53,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:5:21,27,2022-01-26T10:54:17.163Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:4:46,286,34,,FR,,FEMALE,83,2532,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-Mep7iQNM5bYV7zL4zYfk-52,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:5:49,23,2022-01-26T10:54:45.117Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:5:21,321,27,,FR,,FEMALE,141,4318,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-OT0PoMGUsqDwprYhNyup-50,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:6:15,29,2022-01-26T10:55:11.193Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:5:49,349,23,,FR,,FEMALE,152,4647,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-94CkObsgSIDPy9fjdWZ4-51,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:7:55,32,2022-01-26T10:56:51.821Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:7:23,443,28,,FR,,FEMALE,170,5180,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-d4IlxQhPXcBxcwuMvnxx-59,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:9:0,25,2022-01-26T10:57:56.873Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:8:28,508,31,,FR,,FEMALE,121,3700,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-3HjDx41YgtHYXHJR0zyO-57,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:9:30,29,2022-01-26T10:58:26.032Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:9:0,540,25,,FR,,FEMALE,146,4448,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-ON8KTaass1nZ1HXkLY3g-58,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:10:31,32,2022-01-26T10:59:27.800Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:9:59,599,31,,FR,,FEMALE,111,3396,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-Eq3tg5OFYXqTeuYvGcYC-61,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:11:35,16,2022-01-26T11:00:31.773Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:11:4,664,19,,FR,,FEMALE,75,2294,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-JmbrvmgxfroECOztQDPl-72,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:15:20,26,2022-01-26T11:04:16.281Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:14:34,874,43,,FR,,FEMALE,98,3002,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-SnoVHFyoG9FTEuCWl50p-71,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:16:17,26,2022-01-26T11:05:13.843Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:15:53,953,24,,FR,,FEMALE,51,1563,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-4DBpg0Fe1PUdN3IMmyPp-63,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:16:44,23,2022-01-26T11:05:40.415Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:16:17,977,26,,FR,,FEMALE,136,4159,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-FM7EOy5F9k2dcITMIZsF-73,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:17:13,18,2022-01-26T11:06:09.809Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:16:44,1004,23,,FR,,FEMALE,63,1935,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-RWMLz7Vgnm4N3xuCoZUq-64,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:18:39,23,2022-01-26T11:07:35.567Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:18:10,1090,28,,FR,,FEMALE,80,2456,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-wGSeWnBbTpx2e38xN2pI-67,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:20:44,40,2022-01-26T11:09:40.445Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:20:3,1203,40,,FR,,MALE,33,1005,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-lXO6xJN16AH1ATWVG5HP-65,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:21:25,36,2022-01-26T11:10:21.578Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:20:44,1244,40,,FR,,MALE,29,887,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-FTSOpPmnKuxgYlPr3UiH-66,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:22:2,34,2022-01-26T11:10:58.290Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:21:25,1285,36,,FR,,MALE,29,895,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-SXHs2yTYZL4vfz5ADkNh-102,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:31:5,60,2022-01-26T11:20:01.899Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:29:53,1793,71,,FR,,FEMALE,90,2758,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-Eafi0wmkI18KVB4frUMW-80,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:32:6,34,2022-01-26T11:21:02.857Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:31:5,1865,60,,FR,,FEMALE,71,2170,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-xU2PcI0KtrC1PgOd8S9u-103,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:35:57,76,2022-01-26T11:24:53.036Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:35:16,2116,40,,FR,,,39,1206,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-tILyT7lroLmuHMSKXEss-104,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:37:14,30,2022-01-26T11:26:10.471Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:35:57,2157,76,,FR,,FEMALE,107,3260,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-OwDZh8EWJKqfT4enqZvh-109,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:37:45,34,2022-01-26T11:26:41.578Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:37:14,2234,30,,FR,,FEMALE,100,3066,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-qOs21tnFV99dwl5WIyEm-106,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:38:20,37,2022-01-26T11:27:16.842Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:37:45,2265,34,,FR,,FEMALE,88,2685,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-3K8kwuSZK0EJpQxaGF1M-110,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:38:58,24,2022-01-26T11:27:54.293Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:38:20,2300,37,,FR,,FEMALE,84,2581,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-8iyFD24tfeQ8AoH2u26n-99,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:40:0,29,2022-01-26T11:28:56.683Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:39:28,2368,23,,FR,,FEMALE,44,1350,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-7HD6RSKT0baS2bYfgOqv-96,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:40:30,24,2022-01-26T11:29:26.902Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:40:0,2400,29,,FR,,FEMALE,34,1037,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-pX7dQkFlI2VWXRHeRLhT-105,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:40:55,31,2022-01-26T11:29:51.770Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:40:30,2430,24,,FR,,FEMALE,49,1517,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-kbmMCOA9OsFRCqKedgVZ-97,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:44:45,28,2022-01-26T11:33:41.360Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:44:11,2651,28,,FR,,FEMALE,40,1230,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-It5BJWyfLPxAaHchL1PI-116,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:45:53,30,2022-01-26T11:34:49.833Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:45:22,2722,26,,FR,,FEMALE,85,2604,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-MRhC8L2nNydhXIQTOxDS-112,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:46:24,26,2022-01-26T11:35:20.209Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:45:53,2753,30,,FR,,FEMALE,51,1563,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-i9qNhwAcgKHfvwq6gMgS-95,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:46:59,20,2022-01-26T11:35:55.747Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:46:24,2784,26,,FR,,FEMALE,72,2203,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-VCAAUyKVERW9NS5oyn65-107,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:47:20,20,2022-01-26T11:36:16.070Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:46:59,2819,20,,FR,,FEMALE,88,2704,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-vjias6Qw7nmCpaTuCjip-98,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:49:9,21,2022-01-26T11:38:05.045Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:48:22,2902,33,,FR,,FEMALE,39,1200,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-OqCaEPW8tjMUrJ5A6e1c-101,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:51:43,32,2022-01-26T11:40:39.301Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:51:24,3084,14,,FR,,FEMALE,95,2889,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-satviYCUxSXadFflrrRs-108,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:53:3,32,2022-01-26T11:41:59.809Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:52:23,3143,35,,FR,,FEMALE,64,1947,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-WBne3R4WuezCy2d53f56-130,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:55:16,29,2022-01-26T11:44:12.664Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:54:40,3280,35,,FR,,FEMALE,109,3313,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-sFqHhegDlUIzqw4921UH-129,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,0:58:54,99,2022-01-26T11:47:50.606Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,0:58:29,3509,25,,FR,,FEMALE,141,4300,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-kFKHsknGYgZQRFHRSKPr-612,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,2:36:50,43,2022-01-26T13:25:46.884Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,2:36:10,9370,31,,FR,570,MALE,19,582,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-yKHMSvJiSze2m8WHpYto-626,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,2:37:34,30,2022-01-26T13:26:30.756Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,2:36:50,9410,43,,FR,560,MALE,17,543,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-n5EJYpFyPbL3DNs4DUSC-674,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,3:17:22,37,2022-01-26T14:06:18.529Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,3:15:8,11708,41,,FR,,MALE,26,798,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-nzDc8X5XzbGTgjWjKq5h-675,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,3:18:46,34,2022-01-26T14:07:42.841Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,3:18:5,11885,41,,FR,510,MALE,26,799,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-onemLmc0bOAihJVeTddF-682,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,3:19:21,43,2022-01-26T14:08:17.477Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,3:18:46,11926,34,,FR,590,MALE,28,849,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-KRjsWfIf6mOCVRGG7L2d-675,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,3:20:4,39,2022-01-26T14:09:00.818Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,3:19:21,11961,43,,FR,510,MALE,26,799,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-5Cv8kP83uCTmXhJ9bS7l-680,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,3:20:44,43,2022-01-26T14:09:40.939Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,3:20:4,12004,39,,FR,540,MALE,27,842,alnft5S1MAWbusoVXbvafncTjOX2
2VzIjltH7IgxzqvY62Lt-bCe3xNM620dQw3skml4u-677,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-db46035-1643194136.mp4,3:21:34,31,2022-01-26T14:10:30.502Z,https://storage.googleapis.com/marteye-replays/mp4/alnft5S-C-91600f4-1643194141.mp4,3:20:44,12044,43,,FR,520,MALE,25,764,alnft5S1MAWbusoVXbvafncTjOX2
